ticker,earnrelease_date,earnrelease_time,timestart,avg(t.twitterpermin),Datestartname
SRCL,2013-04-24,16:02:00,16:01:19,0.049425,"Wednesday"
SRCL,2013-07-24,16:02:00,15:56:42,0.048214,"Wednesday"
SYMC,2012-07-25,07:00:00,06:52:31,1.327273,"Wednesday"
SYMC,2012-10-24,16:05:00,15:56:59,0.879487,"Wednesday"
SYMC,2013-01-23,07:59:00,07:55:58,1.038776,"Wednesday"
SYMC,2013-05-07,16:04:00,16:02:32,0.712069,"Tuesday"
SYMC,2013-07-30,16:01:00,15:54:31,0.637500,"Tuesday"
URBN,2012-05-21,16:00:00,15:50:18,NULL,NULL
URBN,2012-08-20,16:00:00,15:55:24,4.188235,"Monday"
URBN,2012-11-19,16:00:00,15:57:02,4.642857,"Monday"
URBN,2013-03-11,16:46:00,16:42:15,4.739474,"Monday"
URBN,2013-05-20,16:00:00,15:58:51,3.736047,"Monday"
URBN,2013-08-19,16:01:00,15:58:52,3.651282,"Monday"
VRSN,2012-07-26,16:04:00,15:55:59,0.021739,"Thursday"
VRSN,2013-01-24,16:04:00,15:58:33,0.038636,"Thursday"
VRSN,2013-04-25,16:04:00,15:57:26,0.092754,"Thursday"
VRSN,2013-07-25,16:04:00,16:03:11,0.090698,"Thursday"
WYNN,2012-10-24,16:02:00,15:57:04,0.012821,"Wednesday"
WYNN,2013-01-31,16:01:00,15:59:05,0.018182,"Thursday"
WYNN,2013-04-25,16:02:00,15:57:28,0.077941,"Thursday"
WYNN,2013-07-29,07:30:00,07:26:19,0.018182,"Monday"
XLNX,2012-10-17,16:20:00,16:15:17,0.037500,"Wednesday"
XLNX,2013-01-17,16:20:00,16:18:45,0.028571,"Thursday"
XLNX,2013-04-24,16:20:00,16:11:47,0.068675,"Wednesday"
XLNX,2013-07-17,16:20:00,16:12:17,0.060577,"Wednesday"
YHOO,2013-04-16,16:04:00,15:53:50,51.427586,"Tuesday"
YHOO,2013-07-16,16:04:00,15:55:57,59.844872,"Tuesday"
