ticker,earnrelease_date,earnrelease_time,timestart,avg(t.volumeend)
SYMC,2012-07-25,07:00:00,06:52:31,9046.0000
SYMC,2012-10-24,16:05:00,15:56:59,11475000.0000
SYMC,2013-01-23,07:59:00,07:55:58,2681819.0000
SYMC,2013-05-07,16:04:00,16:02:32,10100000.0000
SYMC,2013-07-30,16:01:00,15:54:31,9059996.2500
URBN,2012-05-21,16:00:00,15:50:18,5771648.7500
URBN,2012-08-20,16:00:00,15:55:24,5068516.0000
URBN,2012-11-19,16:00:00,15:57:02,5330309.5000
URBN,2013-03-11,16:46:00,16:42:15,2803659.6667
URBN,2013-05-20,16:00:00,15:58:51,2673787.0000
URBN,2013-08-19,16:01:00,15:58:52,4088655.0000
VRSN,2012-07-26,16:04:00,15:55:59,3846436.2500
VRSN,2013-01-24,16:04:00,15:58:33,4240904.0000
VRSN,2013-04-25,16:04:00,15:57:26,2627392.0000
VRSN,2013-07-25,16:04:00,16:03:11,1294975.7500
WYNN,2012-10-24,16:02:00,15:57:04,1908017.2500
WYNN,2013-01-31,16:01:00,15:59:05,3207792.0000
WYNN,2013-04-25,16:02:00,15:57:28,2774701.3333
WYNN,2013-07-29,07:30:00,07:26:19,17802.5000
XLNX,2012-10-17,16:20:00,16:15:17,3286311.2500
XLNX,2013-01-17,16:20:00,16:18:45,NULL
XLNX,2013-04-24,16:20:00,16:11:47,3073902.0000
XLNX,2013-07-17,16:20:00,16:12:17,3955938.0000
YHOO,2013-04-16,16:04:00,15:53:50,30175000.0000
YHOO,2013-07-16,16:04:00,15:55:57,30375000.0000
