ticker,earnrelease_date,earnrelease_time,timestart,avg(t.volumeend),timeperiod_endtime
SBUX,2012-07-26,16:03:00,15:55:57,22898529.4118,"2012-08-02 15:55:57"
SBUX,2013-01-24,16:04:00,15:58:31,4028231.7735,"2013-01-31 15:58:31"
SBUX,2013-04-25,16:04:00,15:57:24,2511072.8993,"2013-05-02 15:57:24"
SBUX,2013-07-25,16:04:00,16:03:09,6749973.5613,"2013-08-01 16:03:09"
SIAL,2012-07-24,07:59:00,07:57:07,656930.3277,"2012-07-31 07:57:07"
SIAL,2013-02-07,07:00:00,06:50:29,449533.0780,"2013-02-14 06:50:29"
SIAL,2013-07-23,07:00:00,06:59:12,305524.1871,"2013-07-30 06:59:12"
SNDK,2013-01-23,16:04:00,15:59:31,2809338.4192,"2013-01-30 15:59:31"
SNDK,2013-04-17,16:04:00,16:02:19,4133405.1587,"2013-04-24 16:02:19"
SNDK,2013-07-17,16:04:00,16:01:38,4007883.1506,"2013-07-24 16:01:38"
SRCL,2012-07-25,16:02:00,15:52:41,608399.7025,"2012-08-01 15:52:41"
SRCL,2012-10-24,16:02:00,15:56:59,882657.8451,"2012-10-31 15:56:59"
SRCL,2013-02-06,16:02:00,16:00:53,511368.0145,"2013-02-13 16:00:53"
SRCL,2013-04-24,16:02:00,16:01:19,273978.8067,"2013-05-01 16:01:19"
SRCL,2013-07-24,16:02:00,15:56:42,203082.5068,"2013-07-31 15:56:42"
SYMC,2012-07-25,07:00:00,06:52:31,14181324.8786,"2012-08-01 06:52:31"
SYMC,2012-10-24,16:05:00,15:56:59,9684378.1127,"2012-10-31 15:56:59"
SYMC,2013-01-23,07:59:00,07:55:58,6788216.1541,"2013-01-30 07:55:58"
SYMC,2013-05-07,16:04:00,16:02:32,6341911.3221,"2013-05-14 16:02:32"
SYMC,2013-07-30,16:01:00,15:54:31,9061177.1250,"2013-08-06 15:54:31"
URBN,2012-05-21,16:00:00,15:50:18,2598865.3235,"2012-05-28 15:50:18"
URBN,2012-08-20,16:00:00,15:55:24,4469914.3210,"2012-08-27 15:55:24"
URBN,2012-11-19,16:00:00,15:57:02,5341048.6667,"2012-11-26 15:57:02"
URBN,2013-03-11,16:46:00,16:42:15,1381482.7692,"2013-03-18 16:42:15"
URBN,2013-05-20,16:00:00,15:58:51,2686477.6667,"2013-05-27 15:58:51"
URBN,2013-08-19,16:01:00,15:58:52,1630036.9288,"2013-08-26 15:58:52"
VRSN,2012-07-26,16:04:00,15:55:59,3670543.8088,"2012-08-02 15:55:59"
VRSN,2013-01-24,16:04:00,15:58:33,1897646.8188,"2013-01-31 15:58:33"
VRSN,2013-04-25,16:04:00,15:57:26,1939948.2431,"2013-05-02 15:57:26"
VRSN,2013-07-25,16:04:00,16:03:11,1590322.6429,"2013-08-01 16:03:11"
WYNN,2012-10-24,16:02:00,15:57:04,2945342.1667,"2012-10-31 15:57:04"
WYNN,2013-01-31,16:01:00,15:59:05,1142788.8662,"2013-02-07 15:59:05"
WYNN,2013-04-25,16:02:00,15:57:28,931221.3716,"2013-05-02 15:57:28"
WYNN,2013-07-29,07:30:00,07:26:19,867113.4419,"2013-08-05 07:26:19"
XLNX,2012-10-17,16:20:00,16:15:17,2918053.8169,"2012-10-24 16:15:17"
XLNX,2013-01-17,16:20:00,16:18:45,2947373.9519,"2013-01-24 16:18:45"
XLNX,2013-04-24,16:20:00,16:11:47,2050356.9393,"2013-05-01 16:11:47"
XLNX,2013-07-17,16:20:00,16:12:17,2844741.0340,"2013-07-24 16:12:17"
YHOO,2013-04-16,16:04:00,15:53:50,14099822.9317,"2013-04-23 15:53:50"
YHOO,2013-07-16,16:04:00,15:55:57,26706748.0615,"2013-07-23 15:55:57"
