ticker,earnrelease_date,earnrelease_time,timestart,avg(t.twitterpermin),timeperiod_endtime
NTAP,2012-05-23,16:01:00,15:54:18,1.048031,"2012-05-30 15:54:18"
NTAP,2012-08-15,16:01:00,15:59:09,0.535000,"2012-08-22 15:59:09"
NTAP,2013-02-13,16:01:00,15:53:34,0.884462,"2013-02-20 15:53:34"
NTAP,2013-08-14,16:01:00,15:54:47,0.452667,"2013-08-21 15:54:47"
NVDA,2012-05-11,07:30:00,07:27:00,4.987013,"2012-05-18 07:27:00"
NVDA,2012-08-09,16:20:00,16:13:58,3.548945,"2012-08-16 16:13:58"
NVDA,2013-02-13,16:20:00,16:14:34,8.252768,"2013-02-20 16:14:34"
NVDA,2013-05-09,16:20:00,16:19:50,6.223507,"2013-05-16 16:19:50"
ORCL,2012-06-18,16:59:00,16:50:47,9.843568,"2012-06-25 16:50:47"
ORCL,2012-12-18,16:01:00,15:59:47,11.159686,"2012-12-25 15:59:47"
ORCL,2013-03-20,16:01:00,15:56:49,10.563934,"2013-03-27 15:56:49"
ORCL,2013-09-18,16:01:00,15:53:13,19.900000,"2013-09-25 15:53:13"
ORLY,2012-10-24,18:29:00,18:24:54,0.000000,"2012-10-31 18:24:54"
PAYX,2012-09-24,16:01:00,15:51:52,0.350000,"2012-10-01 15:51:52"
PAYX,2012-12-19,16:01:00,15:55:42,0.064444,"2012-12-26 15:55:42"
PCAR,2012-07-24,07:59:00,07:57:04,0.094468,"2012-07-31 07:57:04"
PCAR,2013-01-31,07:59:00,07:55:57,0.061938,"2013-02-07 07:55:57"
PCAR,2013-07-23,07:59:00,07:51:58,0.057732,"2013-07-30 07:51:58"
PCLN,2012-08-07,16:02:00,15:59:37,0.416766,"2012-08-14 15:59:37"
PCLN,2013-02-26,16:16:00,16:13:59,0.291599,"2013-03-05 16:13:59"
PCLN,2013-05-09,16:09:00,15:58:52,0.347857,"2013-05-16 15:58:52"
QCOM,2013-01-30,16:00:00,15:59:15,1.661837,"2013-02-06 15:59:15"
QCOM,2013-04-24,16:00:00,15:50:50,1.791209,"2013-05-01 15:50:50"
QCOM,2013-07-24,16:00:00,15:56:38,1.217117,"2013-07-31 15:56:38"
QGEN,2012-07-25,10:39:00,10:35:02,0.001325,"2012-08-01 10:35:02"
QGEN,2013-01-29,16:00:00,15:51:21,0.001399,"2013-02-05 15:51:21"
QGEN,2013-04-29,07:59:00,07:54:19,0.006406,"2013-05-06 07:54:19"
QGEN,2013-07-30,17:04:00,16:57:10,0.000000,"2013-08-06 16:57:10"
ROST,2012-05-17,08:26:00,08:22:52,0.029919,"2012-05-24 08:22:52"
ROST,2012-08-16,08:26:00,08:15:54,0.077377,"2012-08-23 08:15:54"
ROST,2013-03-21,08:26:00,08:18:54,0.109804,"2013-03-28 08:18:54"
ROST,2013-08-22,16:00:00,15:55:17,0.042808,"2013-08-29 15:55:17"
SBUX,2012-07-26,16:03:00,15:55:57,64.250000,"2012-08-02 15:55:57"
SBUX,2013-01-24,16:04:00,15:58:31,88.183275,"2013-01-31 15:58:31"
SBUX,2013-04-25,16:04:00,15:57:24,97.340278,"2013-05-02 15:57:24"
SBUX,2013-07-25,16:04:00,16:03:09,100.730323,"2013-08-01 16:03:09"
SIAL,2012-07-24,07:59:00,07:57:07,0.000000,"2012-07-31 07:57:07"
SIAL,2013-02-07,07:00:00,06:50:29,0.019024,"2013-02-14 06:50:29"
SIAL,2013-07-23,07:00:00,06:59:12,0.014626,"2013-07-30 06:59:12"
SNDK,2013-01-23,16:04:00,15:59:31,1.092784,"2013-01-30 15:59:31"
SNDK,2013-04-17,16:04:00,16:02:19,1.211070,"2013-04-24 16:02:19"
SNDK,2013-07-17,16:04:00,16:01:38,2.245170,"2013-07-24 16:01:38"
SRCL,2012-07-25,16:02:00,15:52:41,0.034711,"2012-08-01 15:52:41"
SRCL,2012-10-24,16:02:00,15:56:59,0.026761,"2012-10-31 15:56:59"
SRCL,2013-02-06,16:02:00,16:00:53,0.017391,"2013-02-13 16:00:53"
SRCL,2013-04-24,16:02:00,16:01:19,0.022269,"2013-05-01 16:01:19"
SRCL,2013-07-24,16:02:00,15:56:42,0.020091,"2013-07-31 15:56:42"
SYMC,2012-07-25,07:00:00,06:52:31,1.506936,"2012-08-01 06:52:31"
SYMC,2012-10-24,16:05:00,15:56:59,0.809859,"2012-10-31 15:56:59"
SYMC,2013-01-23,07:59:00,07:55:58,1.240411,"2013-01-30 07:55:58"
SYMC,2013-05-07,16:04:00,16:02:32,0.708614,"2013-05-14 16:02:32"
SYMC,2013-07-30,16:01:00,15:54:31,1.075000,"2013-08-06 15:54:31"
URBN,2012-05-21,16:00:00,15:50:18,1.652941,"2012-05-28 15:50:18"
URBN,2012-08-20,16:00:00,15:55:24,3.399588,"2012-08-27 15:55:24"
URBN,2012-11-19,16:00:00,15:57:02,3.083333,"2012-11-26 15:57:02"
URBN,2013-03-11,16:46:00,16:42:15,3.703590,"2013-03-18 16:42:15"
URBN,2013-05-20,16:00:00,15:58:51,2.900000,"2013-05-27 15:58:51"
URBN,2013-08-19,16:01:00,15:58:52,2.775254,"2013-08-26 15:58:52"
VRSN,2012-07-26,16:04:00,15:55:59,0.072059,"2012-08-02 15:55:59"
VRSN,2013-01-24,16:04:00,15:58:33,0.055052,"2013-01-31 15:58:33"
VRSN,2013-04-25,16:04:00,15:57:26,0.085490,"2013-05-02 15:57:26"
VRSN,2013-07-25,16:04:00,16:03:11,0.061688,"2013-08-01 16:03:11"
WYNN,2012-10-24,16:02:00,15:57:04,0.193056,"2012-10-31 15:57:04"
WYNN,2013-01-31,16:01:00,15:59:05,0.063380,"2013-02-07 15:59:05"
WYNN,2013-04-25,16:02:00,15:57:28,0.047126,"2013-05-02 15:57:28"
WYNN,2013-07-29,07:30:00,07:26:19,0.165116,"2013-08-05 07:26:19"
XLNX,2012-10-17,16:20:00,16:15:17,0.219718,"2012-10-24 16:15:17"
XLNX,2013-01-17,16:20:00,16:18:45,0.038832,"2013-01-24 16:18:45"
XLNX,2013-04-24,16:20:00,16:11:47,0.059919,"2013-05-01 16:11:47"
XLNX,2013-07-17,16:20:00,16:12:17,0.060907,"2013-07-24 16:12:17"
YHOO,2013-04-16,16:04:00,15:53:50,88.674061,"2013-04-23 15:53:50"
YHOO,2013-07-16,16:04:00,15:55:57,70.877933,"2013-07-23 15:55:57"
